regNo,name,rankOf12Month,rankOf24Month,rankOf36Month,rankOf48Month,rankOf60Month,rankLastUpdate,fundType,typeOfInvest,fundSize,initiationDate,dailyEfficiency,weeklyEfficiency,monthlyEfficiency,quarterlyEfficiency,sixMonthEfficiency,annualEfficiency,statisticalNav,efficiency,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,articlesOfAssociationLink,prosoectusLink,websiteAddress,manager,managerSeoRegisterNo,guarantorSeoRegisterNo,auditor,custodian,guarantor,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,fundUnit,commodity,fundPublisher,smallSymbolName,insCode,fundWatch
12127,سهامی اهرمی شتاب آگاه,,,,,,0001-01-01T00:00:00,22,Negotiable,56399020499303,2023-06-07T00:00:00,1.619,4.837,-0.997,29.676,63.242,62.446,15429.0,50.24,15429.0,15526.0,0,,2025-03-02T00:00:00,56399020499303,20.0,3655374119,,,['shetabfund.ir'],سبدگردان آگاه,11604,,موسسه حسابرسی و خدمات مالی و مدیریت ایران مشهود,موسسه حسابرسی و بهبود سیستم های مدیریت حسابرسین,----,,,True,23.9,91.77,0.0,0.92,0.0,7.31,,,1,شتاب,64216772923447100,
11978,اختصاصی بازارگردانی کارگزاری کارآفرین,,,,,,0001-01-01T00:00:00,11,IssuanceAndCancellation,11327595701641,2022-06-20T00:00:00,0.013,0.251,3.005,15.273,26.966,57.906,1385315.0,38.536,1385315.0,1387413.0,0,,2025-03-02T00:00:00,11327595701641,,8176908,,,['kbfund.ir'],کارگزاری بانک کارآفرین,,,موسسه حسابرسی بهمند,مشاور سرمایه گذاری سهم آشنا,----,,,True,99.61,99.95,0.0,0.01,0.0,0.04,,,1,,None,
11915,نماد آشنا ایرانیان,,,,,,0001-01-01T00:00:00,17,IssuanceAndCancellation,1046875254882,2022-02-07T00:00:00,-0.35,-3.26,12.78,30.0,53.69,54.74,2844568.0,181.64,2844568.0,2848380.0,0,,2025-03-02T00:00:00,1046875254882,,368026,,,['namadfund.ir'],سبدگردان سهم آشنا,11557,,موسسه حسابرسی رازدار,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,----,,,True,0.0,0.0,0.0,0.15,0.0,0.75,99.09,0.0,2,,None,
11709,واسطه گری مالی یکم,,,,,,0001-01-01T00:00:00,21,Negotiable,212531761946866,2020-06-24T00:00:00,1.89,13.44,7.68,27.85,60.68,54.71,400546.0,73.23,400546.0,403277.0,0,,2025-03-02T00:00:00,212531761946866,,530604936,,,['fi1fund.com'],تامین سرمایه بانک مسکن,,,موسسه حسابرسی و خدمات مدیریت سامان پندار,سازمان حسابرسی,----,,,True,98.31,98.32,0.0,0.0,0.08,0.44,1.15,0.0,2,دارا یکم,62235397452612911,
12033,سهامی اهرمی توان مفید,,,,,,0001-01-01T00:00:00,22,Negotiable,83582666298396,2022-11-07T00:00:00,1.568,4.124,1.219,25.194,58.989,54.365,21652.0,170.265,21652.0,21800.0,0,,2025-03-02T00:00:00,83582666298396,,3860335069,,,['tavanfund.com'],سبدگردان مفید,11464,,موسسه حسابرسی بیات رایان,موسسه حسابرسی رازدار,----,,,True,24.82,97.89,0.0,1.09,0.0,1.02,,,1,توان,41927452991671109,
12163,بخشی پتروشیمی اندیشه صبا,,,,,,0001-01-01T00:00:00,21,Negotiable,4517031231262,2023-10-10T00:00:00,0.95,3.94,1.7,21.26,39.15,53.86,16528.0,63.74,16528.0,16633.0,0,,2025-03-02T00:00:00,4517031231262,,273291468,,,['petrosaba.sabaamc.ir'],سبدگردان اندیشه صبا,11816,,موسسه حسابرسی رازدار,موسسه حسابرسی بهراد مشار,----,,,True,42.99,89.54,0.0,0.04,4.98,5.44,0.0,0.0,2,پتروصبا,30762816122316539,
11626,مشترک آسمان امید,,,,,,0001-01-01T00:00:00,4,Negotiable,742777882692,2019-02-19T00:00:00,-0.054,0.329,12.282,23.882,32.762,51.469,33561.0,266.41,33561.0,33565.0,0,,2025-03-02T00:00:00,742777882692,,22132240,,,['asamidfund.ir'],سبد گردان آسمان,10906,,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,موسسه حسابرسی و خدمات مدیریت آزموده کاران,----,,,True,0.0,0.0,29.18,0.34,0.03,70.44,,,1,آسامید,24869832924911721,
11912,سهامی اهرمی کاریزما,,,,,,0001-01-01T00:00:00,22,Negotiable,211284412873886,2021-12-21T00:00:00,2.496,7.467,2.724,22.721,58.122,50.604,24312.0,173.003,24312.0,24469.0,0,,2025-03-02T00:00:00,211284412873886,20.0,8690559531,,,['ahrom.charismafunds.ir'],سبد گردان کاریزما,10856,,موسسه حسابرسی رازدار,موسسه حسابرسی هدف نوین نگر,----,,,True,23.02,93.86,0.31,0.74,0.0,5.09,,,1,اهرم,17914401175772326,
11312,تجارت شاخصی کاردان,,,,,,0001-01-01T00:00:00,23,Negotiable,6618030892100,2015-04-06T00:00:00,0.842,3.383,2.668,22.498,43.409,49.581,127660.0,4740.648,127660.0,128528.0,0,,2025-03-02T00:00:00,6618030892100,,51841042,,,['iran-kfunds3.ir'],تامین سرمایه کاردان,,,موسسه حسابرسی فریوران راهبرد,موسسه حسابرسی هدف نوین نگر,----,,,True,31.84,98.19,0.0,1.71,0.0,0.1,,,1,کاردان,65023851436340574,
10872,مشترک یکم سامان,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,2722933900264,2011-06-28T00:00:00,-0.043,3.5,3.338,22.129,41.394,49.548,676662.0,6606.091,676662.0,681338.0,0,,2025-03-02T00:00:00,2722933900264,,4024068,,,['iran-kfunds7.ir'],تامین سرمایه کاردان,,10000010,موسسه حسابرسی بهمند,ارقام نگر آریا,بانک سامان,1.034499,11.548,True,34.18,97.67,0.0,1.85,0.0,0.48,,,1,,None,
